scheme_code,return_1m,return_3m,return_6m,return_1y,return_3y,cagr_1y,cagr_3y,cagr_5y,volatility,sharpe_ratio,sortino_ratio,max_drawdown,beta,risk_level,horizon
100033,-1.137154792295192,1.0299498577043043,-2.040011826155519,0.753454742034676,42.16924910607867,0.753454742034676,12.443724705377202,8.883342858298104,0.2097357782551906,0.2097823605555136,0.26025852021239615,-67.23744292237443,0.9633398071945598,High,Long Term
100034,-1.1381743683132273,1.0313275434242986,-2.037593984962416,-5.38813448551304,15.79274795591894,-5.38813448551304,5.009144466144444,2.0602077441550515,0.22607825462286543,-0.186888232140756,-0.20757119128569546,-68.8546133628441,0.9823297608181627,High,Long Term
100037,-0.0843568371603598,-1.863099084033304,-2.548309178743957,-5.618831785949274,-3.667390444638452,-5.618831785949274,-1.2377197799109507,-1.035044139616248,0.05193080415599498,-1.0073555673466836,-0.8654780325702254,-14.02506279931971,,Low,Long Term
100038,-0.08452452196731075,-0.503919153089194,0.1630654728029146,0.06159099002778223,16.76616800814561,0.06159099002778223,5.30257937359524,5.017258330899299,0.03943915933216591,0.36346074737433637,0.39778717981381545,-10.392173477097321,,Low,Long Term
100041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7967236150775803,0.017315355108653393,8.952421146760082,-0.29454372994426326,,High,Long Term
100042,0.49023150540550287,1.6707577730199041,3.151562416470388,6.14594279111309,22.077100425565188,6.14594279111309,6.875477590908319,6.074075971110271,1.7971251157389823,0.0508448999387345,10.303855165559632,-0.23200791376444263,,High,Long Term
100043,0.49022315079405576,1.6707459652286705,3.151559622395639,6.145937786125422,22.077102997468167,6.145937786125422,6.8754783414541,6.074076702716491,1.7971327855318084,0.051355083879000445,10.42785505553519,-0.23156167607611966,,High,Long Term
100044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7967236765067645,0.017315354516649215,8.20201603175569,-0.29454703631872636,,High,Long Term
100046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7967236054141196,0.01731535520178194,9.022364979013854,-0.2945315801644255,,High,Long Term
100047,0.4902069340791071,1.6707320781427892,3.151538319329572,6.145935871816199,22.076825792304255,6.145935871816199,6.875397445975762,6.07398349906576,1.7971633138299574,0.05197513347761441,10.586645922309248,-0.23088057550372243,,High,Long Term
100048,0.22513602546545552,0.03306380483121263,0.02678184707933795,0.009787563699958923,0.18091729508296073,0.009787563699958923,0.060269433683846074,0.044986710797179086,1.7954415840182463,0.017373658087838015,3.4619700386299943,-0.44229944032002644,,High,Long Term
100051,0.11065103517087227,0.03509447092591156,0.023027968514477415,0.023127679745416074,0.07360707585417625,0.023127679745416074,0.024529674410134206,0.02212041861078262,1.7953304576817153,0.017346477360620692,4.82911843904526,-0.4846398041537747,,High,Long Term
